,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"(np.int64(11), 'J04AA02')",0.49173287,-0.54151845,-0.81492406,0.04520961,-0.35419157,0.26500562,0.43993235,-0.025899649,0.20421818,0.44253835,0.22029734,0.8643607,0.46168298,1.0426323,-1.4258487,0.81217766,0.87028,0.121897385,1.4762473,0.42699596,1.2204567,1.375336,0.44024488,-1.3645045,-0.5536133,-0.1977131,-0.37174076,-0.14057793,1.1004049,-0.3049884,-0.14273258,0.8093102,-0.07081008,0.040259898,0.32578585,0.70545787,-0.53107405,-0.0012368634,0.38119507,-0.78863513,-0.14928912,0.18813194,1.2058032,-0.28165692,1.555093,0.19256872,0.49699515,-0.326827,0.21823403,1.0315206,0.64944136,-0.22041419,0.21583238,0.73937297,0.271943,-0.4049422,-0.42518583,0.38994318,-0.51232785,-0.96997166,-0.41731685,0.7303205,0.9725021,-0.6814505
"(np.int64(12), 'L02BX01')",-0.13201603,-0.07333002,1.1708323,0.38979247,0.53524274,1.157104,0.88719314,0.86341023,0.4517651,-0.7048664,0.36594707,-0.21443775,0.70537996,0.3045743,0.012767471,0.24496831,0.28529084,-0.098369576,0.065855704,0.14674652,-1.2283207,1.1098368,-0.6177849,0.061577037,-0.14090845,0.60102165,-0.27402696,-0.27867937,-0.58905137,0.701838,0.29912624,1.6908904,-0.24462464,0.17357855,0.7344712,-0.75152147,-0.15484431,-0.4338943,-0.6555713,0.30769825,-1.1315432,0.36740553,-0.12128258,-0.35070375,-1.3698821,0.1499502,-1.0566757,-0.14216213,-0.5424513,0.78357416,-0.7137276,-0.115700915,0.43470532,0.18531354,-0.36298674,0.63496226,-0.23750526,-0.4268832,-0.118508205,0.5987844,0.6696357,-0.013026759,-0.055199597,-0.40365523
"(np.int64(13), 'J02AX06')",-0.06717498,0.38385546,-0.06674383,-0.3875173,0.53058285,0.1117988,-0.11229708,0.23887324,-0.04272835,-0.17091662,0.021028578,-0.40457726,-0.20073026,-0.16786814,0.06105671,0.33076957,-0.02999109,0.17103073,0.31260192,-0.26193288,0.03882195,-0.4332464,0.08717161,-0.12879257,-0.44735342,0.26141712,-0.0069679916,-0.089404255,-0.25640267,0.67053276,0.34480608,0.564905,-0.45078558,0.058463786,-0.4148092,-0.43650356,0.22290613,0.11873688,0.055559643,0.232977,0.013003498,-0.15748379,-0.54601395,0.2975798,0.07757624,-0.34329844,0.25156006,0.14613198,-0.10035464,0.34244525,-0.13213587,-0.23346518,0.43830898,-0.062343687,0.40512496,0.3740964,0.25078395,0.08030151,0.42227447,-0.2603769,0.38496366,-0.03867866,0.34732258,0.3059368
"(np.int64(14), 'L01AD01')",0.047574684,0.60958016,0.37079686,-0.45593756,0.8925725,0.19398311,0.51610905,0.45722082,0.91475993,-0.028691798,0.6412959,-0.50414956,0.7455729,-0.2528494,-0.50680965,0.78619194,-0.49404085,-0.07515895,0.6822201,-0.32924488,0.15853152,0.071013056,0.24777149,-0.35305023,-0.36656797,0.029720038,-0.20228575,-0.8239955,0.23798011,0.7099241,0.4233226,0.3740667,-0.07685016,0.67916054,-0.16117886,-0.9482174,0.15750112,0.50969666,0.0007263422,-0.01692848,-0.048137337,-0.25595915,0.6248128,0.792374,-0.12130023,-0.33233446,0.5766776,0.41150814,0.3461343,0.401814,0.11310151,0.040147603,0.20129341,0.90744555,1.0662559,1.0509124,0.62838596,-0.117431335,0.35026127,0.33649075,0.5026286,-0.45599607,-0.25796962,0.44872802
"(np.int64(15), 'B01AE06')",0.086600244,0.13587847,-0.39627802,-0.318831,0.35236394,-0.19003348,-0.06456588,0.6997722,0.22191384,-0.28590915,0.30029792,-0.13058062,0.25200737,-0.37791973,0.24108687,0.010521717,-0.5284511,0.42089903,0.027654361,-0.12783703,-0.34375882,-0.45394033,-0.6868893,-0.48468587,0.014519624,0.2679998,-0.26139495,-0.028088018,-0.43727633,0.6397189,0.6060833,-0.29679242,-0.35097978,-0.10923777,-0.3885275,-1.2414925,0.2755831,-0.9004969,-0.4051558,0.2573005,-0.94447434,0.073212326,0.24975875,0.6347716,-0.117246434,-0.058627293,-0.19457099,0.15388782,0.13244158,0.089171335,-0.06826465,-0.32645723,-0.30816597,0.09838462,-0.19001047,0.24454801,-0.4228217,-0.20400015,-0.16763745,0.2701941,0.8739201,-0.7615882,0.30153188,0.13841757
"(np.int64(16), 'A03BB01')",0.18185088,0.3398437,-0.0052693337,-0.46920514,0.15160795,-0.03187571,0.12232233,0.40475047,1.3594831,-0.70948946,-0.26476693,0.63462955,0.06590241,-0.69680655,-0.016432315,0.25245255,0.29405153,-0.106926985,0.9038239,-0.49927008,-0.033418626,-0.62070024,-0.72080487,0.27021527,-0.16033903,0.4837768,-0.5475664,-0.68304443,-0.34526592,0.9348308,0.30856642,-0.7582984,0.19214918,0.8083934,0.09364861,-1.7727971,0.30814326,0.6641855,-0.38659728,0.831736,-0.42237777,0.040882275,0.9022195,1.3316352,-0.28074285,-0.7182595,-0.1572803,0.9294147,-0.11520389,0.187924,0.035423294,-0.012288507,0.26317874,-0.08057905,0.72469676,0.12194882,0.04987079,0.095402874,0.0122153275,-0.48878667,-0.084082544,-0.28358868,0.0032414123,1.6552321
"(np.int64(17), 'D06AX05')",-0.44345602,0.28837767,0.11700709,0.0581678,-0.057959482,-0.3674817,-0.041584335,0.60521626,0.40659934,-0.84433806,0.5746162,-0.0063274205,0.31213573,-0.16903561,0.17812592,-0.3269715,-0.60545254,0.42269164,0.7122675,-0.40771267,-0.2371805,-0.41852516,-0.55578446,0.41232133,0.36574933,0.19164842,-0.027604692,-0.5461811,-0.35664275,0.43518078,0.3385942,-0.104334325,0.053002357,0.36363152,-0.2033421,-0.7590626,0.7360019,-0.31311363,-0.23270428,0.76009977,-0.5429679,0.014424248,0.39306915,0.47223955,-0.2230367,-0.333872,0.34521174,0.27232012,0.42746517,0.17542452,0.214998,-0.08923156,-0.35668093,0.18017104,0.45090327,0.2684446,0.34058568,-0.2264714,0.0327373,0.06484167,0.43638697,-0.77382827,-0.63398564,0.6483842
"(np.int64(17), 'J01XX10')",0.10339208,0.33529645,0.24341273,-0.09727773,0.33889535,0.19027379,0.6346061,0.31228048,-0.113377236,0.014384031,0.5185312,-0.20162432,-0.015271284,-0.06781272,-0.17844927,-0.30208546,-0.3517828,-0.19023511,0.29489118,-0.4140696,0.28058425,-0.251937,-0.23102759,0.09217137,-0.38610628,0.83969057,-0.8567374,-0.48121172,0.034208752,1.2265934,0.41268188,0.095938295,0.16848665,0.4455366,-0.5245539,-0.75402254,0.6512483,0.28561014,-0.056768343,-0.26054224,0.015620753,0.06742558,0.45141026,0.2363736,0.023258854,-0.36374497,-0.11293286,0.10414013,-0.010700673,-0.14416991,0.43489137,-0.6023053,-0.3055735,-0.15381666,0.42551187,0.15643428,0.8886865,-0.2706606,-0.3762979,0.7167779,0.3350195,-0.46411136,0.6870294,0.44669563
"(np.int64(17), 'R02AB04')",-0.00654047,0.76540023,-0.9244316,-0.5690943,0.49068874,-0.26774645,0.28053296,0.5922079,-0.047178663,-0.68325216,0.604856,0.6450393,0.38276824,0.43509737,-0.23928224,0.24893859,-0.22114706,-0.07441118,0.4401747,0.2178566,0.24508345,-0.58383334,-0.29465497,-0.68565094,-0.18697554,-0.3606485,-0.1908493,-0.17840415,0.30083865,0.89505076,0.74503624,0.28653723,-0.14248458,-0.072509594,-0.29510388,-1.5963302,-0.10052035,-0.692604,0.2509969,-0.027187297,-0.97780526,0.3766031,0.76493466,0.5340845,-0.3865075,-0.06870647,0.5093464,-0.16983311,0.32526731,-0.33842534,0.5396153,-0.48331022,-0.2938612,0.4648207,-0.4082031,0.2206288,-1.1042246,0.63707936,-0.27487093,-0.042200185,-0.13388416,-0.7137929,0.5365817,-0.14456584
"(np.int64(18), 'L03AX15')",-0.20707795,0.45539567,-0.55388355,-0.5903512,0.51746815,-0.22055398,0.23729599,0.17178532,-0.46690908,-0.080981314,-0.33908546,0.0715242,-0.10832846,-0.00062694773,-0.38749748,0.24032947,0.21421014,-0.41599095,0.30693883,-0.23374279,0.22902271,0.08658668,0.21544546,0.0011976594,-0.42310163,0.10709198,-0.61623347,-0.5240763,0.3333642,0.5177043,-0.10950151,0.31390896,-0.13416642,-0.16508892,-0.043926515,0.1952335,0.077263325,-0.16379952,0.16185379,-0.1558769,-0.21993184,0.121773824,0.8900453,0.096228324,0.3693308,0.29684055,0.12155064,-0.103545755,0.09604119,0.0029387958,0.08287109,0.2725358,-0.07051187,0.0037745237,-0.01920666,-0.15205985,-0.32922605,0.4188873,-0.03172657,-0.46455806,0.021886505,-0.081928864,0.08534752,0.29783285
"(np.int64(19), 'A03AB12')",0.16249362,1.1650767,-0.1881116,-0.6544341,0.5070745,0.6646027,0.44157833,1.1579018,0.10395917,-1.138856,1.0229552,0.07816216,0.84032,0.09766226,0.8062294,0.19163147,-0.37454456,-0.09408341,0.08624882,0.089904666,-0.24638349,0.11800234,-0.48735917,0.18177736,0.53939646,-0.051370822,0.38216683,-1.0741997,-0.34934133,1.0883473,0.7391863,0.42290714,-0.34673783,0.6801514,-0.034836806,-1.4084587,0.26400757,-0.46283597,-1.0394905,-0.29605463,-1.2863417,0.17391211,0.28183734,0.6516383,-0.30692297,-0.2144543,-0.026861317,0.92698646,0.075244345,0.23106945,0.11789246,-0.24999654,0.558989,0.19835204,-0.56039995,0.3569906,-0.75111395,-0.6665967,0.14291434,0.28918916,0.066278115,-0.5144726,-0.7844558,-0.3760363
"(np.int64(20), 'J04AB01')",-0.32207203,0.65005267,0.6730304,-0.041640658,0.46876484,-0.012966,1.219862,1.0970056,0.5719923,-1.2550838,1.1521844,-0.62102854,0.8385532,0.070127524,0.6561884,0.25280547,-0.9753314,0.11644085,0.18700787,-0.51194644,-0.3661213,-0.49839318,-0.7321811,0.7019251,0.68731797,0.75625926,-0.7589341,-0.4145884,-1.0177305,1.4910775,1.2358812,-0.13554266,0.17682827,0.5253735,-0.7891852,-1.4254045,0.96414214,-1.2721534,-0.6445981,1.078828,-0.8736317,-0.22987965,-0.32282436,0.4239455,-0.78144526,-0.1937581,-0.40680957,0.5181571,-0.08624986,-0.033884566,0.45468658,-0.38736942,-0.56198806,-0.056090385,0.25733006,0.6693402,0.70260394,-0.5072802,0.22467314,0.108810246,1.1717832,-1.0217946,-0.31075317,0.9002209
"(np.int64(21), 'M01CC01')",-0.16225173,-0.41033587,-0.89981467,-0.9988891,-0.25357807,-0.18014845,-0.16332531,0.17046274,-1.1910071,0.32133836,0.0283897,0.52092344,-0.18324108,0.2413108,-0.97924304,0.25742787,0.5323288,0.3353651,0.74212444,-0.5544893,0.82102644,0.4577273,0.0688639,-0.41050908,-0.6341314,-0.71933395,-0.91976666,-0.30907136,1.0523632,-0.27501976,0.0967377,0.37709224,-0.94082993,-0.44104362,-0.068870276,0.42614818,-0.62042844,0.8796606,-0.101146474,-0.7496857,0.5469823,0.44949752,0.5737392,-0.12172662,1.3359029,0.1920228,0.45089126,0.76746845,0.9094699,-0.29463878,-0.4549697,-0.12254974,-0.33330715,0.606962,0.10621965,-0.006120302,-0.74470466,-0.0812335,1.04284,-0.8093698,-0.14411771,0.57101214,0.11069506,0.57075775
"(np.int64(22), 'G04BX13')",-0.014086857,-0.38440534,0.2005728,-0.5261733,0.21494111,-0.062028278,0.46082008,0.0435459,-0.6015013,-0.028479964,0.45586348,-0.29785115,0.66113144,0.38959828,-1.1184106,1.4075412,0.2044189,0.04590845,0.44634515,-0.50173265,0.1576848,0.6350666,0.40004745,-0.7087775,-0.47295764,0.49443698,-0.7045224,-0.5929512,-0.059690922,0.52194196,0.8135117,0.5822269,0.4934236,0.4848563,-0.7190267,-0.18476546,1.1947651,-0.30022335,0.6537268,-0.5980467,-0.48722097,0.7083238,0.4179661,0.42170995,0.49917394,0.023707122,0.6246371,-0.26721498,0.40143302,-0.26322034,0.42126232,0.37928843,0.13729662,0.59344065,0.4766675,-0.124854505,0.20147055,0.16569608,0.14891624,-1.0347499,0.026806593,0.033359468,0.7811595,0.065449506
"(np.int64(22), 'M02AX03')",-0.28567392,-0.04998049,-0.13028131,-0.40015656,0.38326728,0.28554457,0.5022697,0.67579114,-0.55515975,-0.17563179,0.4266209,-0.42242855,0.44223675,0.3760915,-0.016491573,0.13855962,0.23658094,-0.15925606,-0.11242001,0.07925269,-0.81239897,0.6682384,-0.6792798,0.48921216,-0.469888,0.68662786,-0.6253129,-0.017505378,0.16642466,0.023967028,0.6537014,-0.05611068,-0.5344521,0.595512,-0.13639015,-1.0306796,0.114271745,-0.09189792,-0.17486596,-0.9065148,-0.27651018,0.67722815,-0.49575496,-0.19605085,-0.059031695,-0.21366863,-0.4111149,-0.16606972,0.10811654,0.24381307,-0.3567067,0.102227524,0.00021653622,-0.37120956,-0.16867627,0.024355091,-0.10817412,-0.022922456,0.085019514,-0.44789192,0.090640455,-0.16681542,0.23956579,0.28870636
"(np.int64(23), 'V03AB03')",-0.43586808,0.89309734,-0.10162613,0.5112949,-0.27571574,0.26425603,1.1442462,0.56792057,0.07562288,-0.563764,0.08958929,-0.22792612,0.13686587,0.13545015,1.0827783,0.26996168,-0.44383395,-0.054553743,0.024565093,0.4025923,-0.26282853,0.0862943,-0.49969548,0.5929086,0.34242186,0.17147605,0.123134,-0.7092207,-1.021982,0.76905805,0.3014521,-0.44452482,-0.2284166,0.729946,-0.014596596,-1.5350014,0.19116259,-0.53844,-0.44469795,0.80520123,-0.39415163,0.10409941,-0.3392351,-0.2206473,-0.6451312,-0.813826,-0.327252,0.06954183,-0.19510157,0.3797858,0.027963843,-0.23668215,-0.4058602,0.11088154,0.37603188,-0.049364943,0.011078991,-0.587237,0.16369486,0.7372445,0.6814349,-0.84171283,-0.53722453,0.060244538
"(np.int64(24), 'J05AX07')",0.22234519,0.024968605,-1.0157084,-1.2429093,0.20733653,-0.5485479,0.06513542,0.9007318,-0.3301741,0.7621176,-0.48195845,0.09010967,0.6009978,0.37425235,-0.44431132,0.20137465,-0.0018558502,-0.13779809,1.3049818,-0.66528666,0.7254382,0.023411099,-0.37948686,-0.2698016,-0.8758187,-0.19772972,-0.8343069,-0.44807506,0.8247045,0.17215635,-0.015496865,0.071398,-0.96109813,-0.8303294,-0.4426134,0.006754309,-0.6354088,0.71630895,0.33545795,-0.19190988,-0.34553507,0.37510937,1.0382718,0.3061221,0.87158895,0.7745236,0.3973505,-0.25126955,1.1572808,-0.5668322,-0.581347,0.69993776,0.28371343,0.33502376,-0.12865138,-0.18959068,-1.4681754,0.73515147,0.3932432,-0.7985258,-0.18096912,0.11470646,-0.1591333,0.53894395
"(np.int64(25), 'B01AC16')",-0.14268959,0.19183582,-0.25411028,0.37793553,-0.11294454,0.27500057,0.56870085,0.48493588,0.25485042,-0.16952309,-0.0025706757,0.41682816,0.86086035,-0.01291509,0.27764267,0.117205866,-0.029632505,0.19615227,0.25530994,-0.23615646,-0.20362708,0.5524607,-0.4619276,-0.06771189,-0.4866048,0.105399355,-0.31576207,-0.16081578,0.073848575,0.021264262,0.41566288,0.022381663,-0.603223,0.18318263,-0.12110773,-1.0860913,0.19682945,0.09774613,-0.35030988,-0.18980125,-0.35101128,0.11750369,0.23471439,-0.09668553,0.04343906,-0.3138769,0.098201245,-0.12624481,0.34232825,0.47238234,0.17396306,0.14237231,0.023003174,0.10446344,0.012835592,0.18257903,-0.20354375,0.11082466,-0.043618746,0.12407774,-0.010022185,-0.4950208,-0.23461673,0.22288005
